layer1,layer2,layer3,activation_function_layer1,activation_function_layer2,activation_function_layer3,dropout_layer1,dropout_layer2,dropout_layer3,layer1_regularizer,layer2_regularizer,layer3_regularizer,optimizer,autoencoder,balanced,formula,scaled,model_id,training_AUC,cutoff,training_AUC2,training_AUC_lower95CI,training_AUC_upper95CI,training_Accuracy,training_Sensitivity,training_Specificity,training_PPV,training_NPV,training_F1,test_Accuracy,test_Sensitivity,test_Specificity,test_PPV,test_NPV,test_F1,valid_Accuracy,valid_Sensitivity,valid_Specificity,valid_PPV,valid_NPV,valid_F1,name,worth_saving,training_time
2,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,1-SMOTE-1662048834,0.901049416555721,0.746004730463028,0.901049416555721,0.872612102953756,0.929486730157686,0.834070796460177,0.756637168141593,0.911504424778761,0.895287958115183,0.789272030651341,0.820143884892086,0.823076923076923,0.773333333333333,0.890909090909091,0.90625,0.742424242424242,0.834532374100719,0.856060606060606,0.816326530612245,0.879518072289157,0.8,0.890243902439025,0.808080808080808,deeplearning_1-SMOTE-1662048834,TRUE,1.3133042772611
3,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,2-SMOTE-1662048834,0.923006891690814,0.621606945991516,0.923006891690814,0.899465100222064,0.946548683159563,0.849557522123894,0.800884955752212,0.898230088495575,0.887254901960784,0.818548387096774,0.841860465116279,0.830769230769231,0.826666666666667,0.836363636363636,0.873239436619718,0.779661016949153,0.849315068493151,0.833333333333333,0.816326530612245,0.843373493975904,0.754716981132076,0.886075949367089,0.784313725490196,deeplearning_2-SMOTE-1662048834,TRUE,1.29577711423238
4,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,3-SMOTE-1662048834,0.924308873051923,0.331034108996391,0.924308873051923,0.901635806842238,0.946981939261607,0.845132743362832,0.876106194690266,0.814159292035398,0.825,0.867924528301887,0.849785407725322,0.846153846153846,0.866666666666667,0.818181818181818,0.866666666666667,0.818181818181818,0.866666666666667,0.848484848484848,0.897959183673469,0.819277108433735,0.745762711864407,0.931506849315068,0.814814814814815,deeplearning_3-SMOTE-1662048834,TRUE,52.9984750747681
5,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,4-SMOTE-1662048834,0.931366982535829,0.382658541202545,0.931366982535829,0.909507201240541,0.953226763831117,0.856194690265487,0.871681415929204,0.84070796460177,0.84549356223176,0.867579908675799,0.85838779956427,0.830769230769231,0.84,0.818181818181818,0.863013698630137,0.789473684210526,0.851351351351351,0.825757575757576,0.897959183673469,0.783132530120482,0.709677419354839,0.928571428571428,0.792792792792793,deeplearning_4-SMOTE-1662048834,TRUE,49.8293974399567
6,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,5-SMOTE-1662048834,0.931944553214817,0.502598464488983,0.931944553214817,0.909990667543379,0.953898438886255,0.860619469026549,0.849557522123894,0.871681415929204,0.868778280542987,0.852813852813853,0.859060402684564,0.838461538461539,0.84,0.836363636363636,0.875,0.793103448275862,0.857142857142857,0.795454545454545,0.816326530612245,0.783132530120482,0.689655172413793,0.878378378378378,0.747663551401869,deeplearning_5-SMOTE-1662048834,TRUE,44.8282339572906
7,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,6-SMOTE-1662048834,0.925003915733417,0.387118428945541,0.925003915733417,0.902269109860406,0.947738721606428,0.842920353982301,0.84070796460177,0.845132743362832,0.844444444444445,0.841409691629956,0.842572062084257,0.846153846153846,0.853333333333333,0.836363636363636,0.876712328767123,0.807017543859649,0.864864864864865,0.848484848484848,0.918367346938776,0.807228915662651,0.737704918032787,0.943661971830986,0.818181818181818,deeplearning_6-SMOTE-1662048834,TRUE,53.3146903514862
8,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,7-SMOTE-1662048834,0.927754718458767,0.374188631772995,0.927754718458767,0.905362741092908,0.950146695824627,0.847345132743363,0.867256637168142,0.827433628318584,0.834042553191489,0.861751152073733,0.850325379609545,0.861538461538462,0.88,0.836363636363636,0.88,0.836363636363636,0.88,0.810606060606061,0.897959183673469,0.759036144578313,0.6875,0.926470588235294,0.778761061946903,deeplearning_7-SMOTE-1662048834,TRUE,37.4515175819397
9,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,8-SMOTE-1662048834,0.939110345367687,0.549044698476791,0.939110345367687,0.918692591443196,0.959528099292179,0.867256637168142,0.831858407079646,0.902654867256637,0.895238095238095,0.84297520661157,0.862385321100918,0.846153846153846,0.826666666666667,0.872727272727273,0.898550724637681,0.786885245901639,0.861111111111111,0.840909090909091,0.857142857142857,0.831325301204819,0.75,0.907894736842105,0.8,deeplearning_8-SMOTE-1662048834,TRUE,46.9912936687469
10,0,0,relu,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,9-SMOTE-1662048834,0.938425092019735,0.55289614200592,0.938425092019735,0.918329390130963,0.958520793908508,0.867256637168142,0.84070796460177,0.893805309734513,0.88785046728972,0.848739495798319,0.863636363636364,0.869230769230769,0.853333333333333,0.890909090909091,0.914285714285714,0.816666666666667,0.882758620689655,0.833333333333333,0.897959183673469,0.795180722891566,0.721311475409836,0.929577464788732,0.8,deeplearning_9-SMOTE-1662048834,TRUE,43.6013600826263
2,0,0,sigmoid,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,10-SMOTE-1662048834,0.901617197901167,0.571183621883392,0.901617197901167,0.872825266349215,0.930409129453119,0.842920353982301,0.805309734513274,0.880530973451327,0.870813397129187,0.818930041152263,0.836781609195402,0.869230769230769,0.866666666666667,0.872727272727273,0.902777777777778,0.827586206896552,0.884353741496599,0.863636363636364,0.897959183673469,0.843373493975904,0.771929824561404,0.933333333333333,0.830188679245283,deeplearning_10-SMOTE-1662048834,TRUE,1.30652615626653
