layer1,layer2,layer3,activation_function_layer1,activation_function_layer2,activation_function_layer3,dropout_layer1,dropout_layer2,dropout_layer3,layer1_regularizer,layer2_regularizer,layer3_regularizer,optimizer,autoencoder,balanced,formula,scaled,model_id,training_AUC,cutoff,training_AUC2,training_AUC_lower95CI,training_AUC_upper95CI,training_Accuracy,training_Sensitivity,training_Specificity,training_PPV,training_NPV,training_F1,test_Accuracy,test_Sensitivity,test_Specificity,test_PPV,test_NPV,test_F1,valid_Accuracy,valid_Sensitivity,valid_Specificity,valid_PPV,valid_NPV,valid_F1,name,worth_saving,training_time,metaindex,metaindex2
8,0,0,relu,relu,relu,0.1,0,0,FALSE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,88-SMOTE-1662049471,0.942830292113713,0.371464043855667,0.942830292113713,0.923559503693582,0.962101080533844,0.873893805309734,0.876106194690266,0.871681415929204,0.872246696035242,0.875555555555556,0.874172185430464,0.9,0.893333333333333,0.909090909090909,0.930555555555556,0.862068965517241,0.91156462585034,0.825757575757576,0.897959183673469,0.783132530120482,0.709677419354839,0.928571428571428,0.792792792792793,deeplearning_88-SMOTE-1662049471,TRUE,55.6227374076843,0.865445175853284,0.86655046035577
3,0,0,relu,relu,relu,0,0,0,FALSE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,272-SMOTE-1662051153,0.89996280053254,0.539956867694855,0.89996280053254,0.869606143338254,0.930319457726825,0.845132743362832,0.805309734513274,0.88495575221239,0.875,0.819672131147541,0.838709677419355,0.884615384615385,0.866666666666667,0.909090909090909,0.928571428571429,0.833333333333333,0.896551724137931,0.863636363636364,0.836734693877551,0.879518072289157,0.803921568627451,0.901234567901235,0.82,deeplearning_272-SMOTE-1662051153,TRUE,1.23080061276754,0.86416093207529,0.86446149720486
7,0,0,selu,relu,relu,0,0,0,FALSE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,186-SMOTE-1662050295,0.941048633409038,0.525814592838287,0.941048633409038,0.921419909376897,0.960677357441178,0.876106194690266,0.858407079646018,0.893805309734513,0.889908256880734,0.863247863247863,0.873873873873874,0.884615384615385,0.866666666666667,0.909090909090909,0.928571428571429,0.833333333333333,0.896551724137931,0.833333333333333,0.836734693877551,0.831325301204819,0.745454545454546,0.896103896103896,0.788461538461539,deeplearning_186-SMOTE-1662050295,TRUE,1.37109843492508,0.864092898525059,0.864684970879661
8,0,0,selu,relu,relu,0,0,0,FALSE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,79-SMOTE-1662049401,0.917143080899052,0.568374305963516,0.917143080899052,0.892718227586389,0.941567934211715,0.845132743362832,0.81858407079646,0.871681415929204,0.864485981308411,0.827731092436975,0.840909090909091,0.861538461538462,0.853333333333333,0.872727272727273,0.901408450704225,0.813559322033898,0.876712328767123,0.878787878787879,0.897959183673469,0.867469879518072,0.8,0.935064935064935,0.846153846153846,deeplearning_79-SMOTE-1662049401,TRUE,32.4705984592438,0.861600682205167,0.861819694563058
6,0,0,sigmoid,relu,relu,0,0,0,FALSE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,284-SMOTE-1662051255,0.902968125929987,0.643221974372864,0.902968125929987,0.874720094946892,0.931216156913082,0.842920353982301,0.792035398230089,0.893805309734513,0.881773399014778,0.811244979919679,0.834498834498835,0.853846153846154,0.84,0.872727272727273,0.9,0.8,0.868965517241379,0.886363636363636,0.877551020408163,0.891566265060241,0.826923076923077,0.925,0.851485148514851,deeplearning_284-SMOTE-1662051255,TRUE,2.73125374317169,0.86065235019521,0.861043381397364
10,0,0,selu,relu,relu,0.1,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,54-SMOTE-1662049235,0.92587516641867,0.582381248474121,0.92587516641867,0.903042953162473,0.948707379674867,0.860619469026549,0.831858407079646,0.889380530973451,0.882629107981221,0.841004184100418,0.856492027334852,0.861538461538462,0.853333333333333,0.872727272727273,0.901408450704225,0.813559322033898,0.876712328767123,0.856060606060606,0.877551020408163,0.843373493975904,0.767857142857143,0.921052631578947,0.819047619047619,deeplearning_54-SMOTE-1662049235,TRUE,43.8921089172363,0.859399491373683,0.859406178875206
5,0,0,sigmoid,relu,relu,0,0,0,TRUE,FALSE,FALSE,sgd,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,229-SMOTE-1662050616,0.904945571305506,0.608838379383087,0.904945571305506,0.877325641313303,0.932565501297708,0.838495575221239,0.800884955752212,0.876106194690266,0.866028708133971,0.814814814814815,0.832183908045977,0.869230769230769,0.866666666666667,0.872727272727273,0.902777777777778,0.827586206896552,0.884353741496599,0.871212121212121,0.897959183673469,0.855421686746988,0.785714285714286,0.93421052631579,0.838095238095238,deeplearning_229-SMOTE-1662050616,TRUE,2.77178106307983,0.859381988691414,0.859646155221376
10,0,0,relu,relu,relu,0,0,0,FALSE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,171-SMOTE-1662050157,0.946295716187642,0.523263096809387,0.946295716187642,0.927797559589052,0.964793872786232,0.876106194690266,0.853982300884956,0.898230088495575,0.893518518518519,0.860169491525424,0.873303167420815,0.853846153846154,0.84,0.872727272727273,0.9,0.8,0.868965517241379,0.848484848484848,0.836734693877551,0.855421686746988,0.773584905660377,0.89873417721519,0.803921568627451,deeplearning_171-SMOTE-1662050157,TRUE,32.2706143856049,0.859314038992703,0.859479065673756
3,0,0,sigmoid,relu,relu,0,0,0,FALSE,FALSE,FALSE,rmsprop,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,173-SMOTE-1662050179,0.923466990367296,0.520763516426086,0.923466990367296,0.899004551923627,0.947929428810965,0.858407079646018,0.84070796460177,0.876106194690266,0.871559633027523,0.846153846153846,0.855855855855856,0.861538461538462,0.853333333333333,0.872727272727273,0.901408450704225,0.813559322033898,0.876712328767123,0.856060606060606,0.897959183673469,0.831325301204819,0.758620689655173,0.932432432432432,0.822429906542056,deeplearning_173-SMOTE-1662050179,TRUE,2.43667832215627,0.858662854217173,0.858668715748362
2,0,0,sigmoid,relu,relu,0,0,0,TRUE,FALSE,FALSE,adam,0,TRUE,hsa.miR.320b + hsa.let.7b.5p + hsa.miR.19b.3p + hsa.miR.20b.5p + hsa.miR.30d.5p + hsa.miR.139.3p + hsa.miR.17.5p + hsa.miR.375.3p,TRUE,10-SMOTE-1662048834,0.901617197901167,0.571183621883392,0.901617197901167,0.872825266349215,0.930409129453119,0.842920353982301,0.805309734513274,0.880530973451327,0.870813397129187,0.818930041152263,0.836781609195402,0.869230769230769,0.866666666666667,0.872727272727273,0.902777777777778,0.827586206896552,0.884353741496599,0.863636363636364,0.897959183673469,0.843373493975904,0.771929824561404,0.933333333333333,0.830188679245283,deeplearning_10-SMOTE-1662048834,TRUE,1.30652615626653,0.858445506317601,0.858595828949811
