Name,ID,Modelling Method,Selection Method,Train ROC AUC,Train Acc,Test Acc,Valid Acc,Metaindex
C5.0+RandomForestRFESMOTE_sig,1661466163.44172,C5.0,RandomForestRFESMOTE_sig,1,1,0.884615384615385,0.78030303030303,0.879252752690833
C5.0+feseR_combineFS_RF_SMOTE,1661466123.98702,C5.0,feseR_combineFS_RF_SMOTE,0.992423055838358,0.971238938053097,0.907692307692308,0.765151515151515,0.872539853809606
C5.0+SU_MDLSMOTE,1661466152.72664,C5.0,SU_MDLSMOTE,1,1,0.830769230769231,0.803030303030303,0.869820686860501
rf+RandomForestRFESMOTE_sig,1661466089.46937,rf,RandomForestRFESMOTE_sig,1,1,0.884615384615385,0.757575757575758,0.869455645161291
rf+sigtopSMOTE,1661466075.12167,rf,sigtopSMOTE,1,1,0.884615384615385,0.757575757575758,0.869455645161291
C5.0+sigtopSMOTE,1661466145.20905,C5.0,sigtopSMOTE,0.999921685331663,0.995575221238938,0.884615384615385,0.757575757575758,0.868337155321886
rf+ElasticNet,1661466109.38676,rf,ElasticNet,1,1,0.869230769230769,0.765151515151515,0.86771078841329
C5.0+sigtop,1661466140.78412,C5.0,sigtop,0.999892732636095,0.994884910485934,0.861538461538462,0.772727272727273,0.867058708758512
C5.0+RandomForestRFE_sig,1661466160.63635,C5.0,RandomForestRFE_sig,1,1,0.853846153846154,0.772727272727273,0.865728704694908
C5.0+RandomForestRFE,1661466157.97191,C5.0,RandomForestRFE,1,1,0.853846153846154,0.772727272727273,0.865728704694908
C5.0+AUC_MDLSMOTE,1661466149.76921,C5.0,AUC_MDLSMOTE,1,1,0.884615384615385,0.742424242424242,0.862720081653483
rf+feseR_combineFS_RF,1661466053.67859,rf,feseR_combineFS_RF,1,1,0.884615384615385,0.742424242424242,0.862720081653483
rf+RandomForestRFE_sig,1661466087.65714,rf,RandomForestRFE_sig,1,1,0.861538461538462,0.757575757575758,0.86189205828032
C5.0+ElasticNet,1661466183.65821,C5.0,ElasticNet,0.999570930544382,0.989769820971867,0.869230769230769,0.757575757575758,0.861876183829079
rf+feseR_combineFS_RF_SMOTE,1661466055.33465,rf,feseR_combineFS_RF_SMOTE,1,1,0.846153846153846,0.765151515151515,0.859907120743034
C5.0+topFCSMOTE,1661466147.08534,C5.0,topFCSMOTE,0.999706319993735,0.988938053097345,0.861538461538462,0.757575757575758,0.859131139911525
rf+AUC_MDL,1661466067.82423,rf,AUC_MDL,1,1,0.869230769230769,0.742424242424242,0.857784663051898
rf+topFC,1661466073.03387,rf,topFC,1,1,0.846153846153846,0.757575757575758,0.856697819314642
rf+spFSR,1661466105.67747,rf,spFSR,1,1,0.853846153846154,0.75,0.856041131105398
rf+RandomForestRFE,1661466085.79472,rf,RandomForestRFE,1,1,0.853846153846154,0.75,0.856041131105398
C5.0+cfsSMOTE_sig,1661466172.13379,C5.0,cfsSMOTE_sig,0.99535985590101,0.97787610619469,0.869230769230769,0.75,0.855578311051558
C5.0+cfsSMOTE,1661466168.05932,C5.0,cfsSMOTE,0.99535985590101,0.97787610619469,0.869230769230769,0.75,0.855578311051558
